"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"DATO:
DATI ANALITICI ACQUE SOTTERRANEE","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"GWB","PROVINCIA","COMUNE","CODICE PP","COORD X","COORD Y","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","10/29/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APTA","CO","Fenegrò","PO0131000U0002","500053","5061924","10/29/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,016"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,009"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0006"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","3/26/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,021"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,01"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0029"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","7/24/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","0,012"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,033"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0017"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APTA","CO","MARIANO COMENSE","PO013143NUP001","513110","5061567","10/24/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB FITE","LC","Colico","PO0970230R0002","531046","5110052","5/14/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB FITE","LC","Colico","PO0970230R0002","531046","5110052","5/14/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB FITE","LC","Colico","PO0970230R0002","531046","5110052","5/14/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB FITE","LC","Colico","PO0970230R0002","531046","5110052","5/14/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB FITE","LC","Colico","PO0970230R0002","531046","5110052","5/14/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB FITE","LC","Colico","PO0970230R0002","531046","5110052","5/14/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB FITE","LC","Colico","PO0970230R0002","531046","5110052","5/14/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB FITE","LC","Colico","PO0970230R0002","531046","5110052","5/14/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB FITE","LC","Colico","PO0970230R0002","531046","5110052","5/14/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB FITE","LC","Colico","PO0970230R0002","531046","5110052","5/14/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
